Rate,Timestamp
1.64848,2017-01-22 00:00:00
1.64796,2017-01-23 00:00:00
1.65701,2017-01-24 00:00:00
1.65411,2017-01-25 00:00:00
1.65121,2017-01-26 00:00:00
1.64882,2017-01-27 00:00:00
1.65067,2017-01-28 00:00:00
1.65067,2017-01-29 00:00:00
1.65351,2017-01-30 00:00:00
1.64749,2017-01-31 00:00:00
1.64147,2017-02-01 00:00:00
1.6518,2017-02-02 00:00:00
1.63126,2017-02-03 00:00:00
1.62676,2017-02-04 00:00:00
1.62676,2017-02-05 00:00:00
1.62903,2017-02-06 00:00:00
1.6313,2017-02-07 00:00:00
1.64823,2017-02-08 00:00:00
1.64679,2017-02-09 00:00:00
1.64169,2017-02-10 00:00:00
1.63368,2017-02-11 00:00:00
1.63368,2017-02-12 00:00:00
1.63526,2017-02-13 00:00:00
1.63684,2017-02-14 00:00:00
1.63117,2017-02-15 00:00:00
1.62968,2017-02-16 00:00:00
1.63284,2017-02-17 00:00:00
1.6251,2017-02-18 00:00:00
1.62617,2017-02-19 00:00:00
1.62725,2017-02-20 00:00:00
1.63469,2017-02-21 00:00:00
1.64141,2017-02-22 00:00:00
1.63938,2017-02-23 00:00:00
1.64495,2017-02-24 00:00:00
1.63824,2017-02-25 00:00:00
1.63152,2017-02-26 00:00:00
1.6267,2017-02-27 00:00:00
1.6401,2017-02-28 00:00:00
1.64764,2017-03-01 00:00:00
1.63875,2017-03-02 00:00:00
1.64357,2017-03-03 00:00:00
1.644,2017-03-04 00:00:00
1.64444,2017-03-05 00:00:00
1.64598,2017-03-06 00:00:00
1.64055,2017-03-07 00:00:00
1.63679,2017-03-08 00:00:00
1.64217,2017-03-09 00:00:00
1.64006,2017-03-10 00:00:00
1.63794,2017-03-11 00:00:00
1.63818,2017-03-12 00:00:00
1.63827,2017-03-13 00:00:00
1.64189,2017-03-14 00:00:00
1.63774,2017-03-15 00:00:00
1.64152,2017-03-16 00:00:00
1.64531,2017-03-17 00:00:00
1.65609,2017-03-18 00:00:00
1.65756,2017-03-19 00:00:00
1.65136,2017-03-20 00:00:00
